byte_value,hex,id_in_tiny,id_in_compact,id_in_standard,id_in_full,id_in_reference
202,0xCA,32698,65466,131002,262074,374119
203,0xCB,32699,65467,131003,262075,374120
204,0xCC,32700,65468,131004,262076,374121
205,0xCD,32701,65469,131005,262077,374122
206,0xCE,32702,65470,131006,262078,374123
207,0xCF,32703,65471,131007,262079,374124
208,0xD0,32704,65472,131008,262080,374125
209,0xD1,32705,65473,131009,262081,374126
210,0xD2,32706,65474,131010,262082,374127
211,0xD3,32707,65475,131011,262083,374128
212,0xD4,32708,65476,131012,262084,374129
213,0xD5,32709,65477,131013,262085,374130
214,0xD6,32710,65478,131014,262086,374131
215,0xD7,32711,65479,131015,262087,374132
216,0xD8,32712,65480,131016,262088,374133
217,0xD9,32713,65481,131017,262089,374134
218,0xDA,32714,65482,131018,262090,374135
219,0xDB,32715,65483,131019,262091,374136
220,0xDC,32716,65484,131020,262092,374137
221,0xDD,32717,65485,131021,262093,374138
222,0xDE,32718,65486,131022,262094,374139
223,0xDF,32719,65487,131023,262095,374140
224,0xE0,32720,65488,131024,262096,374141
225,0xE1,32721,65489,131025,262097,374142
226,0xE2,32722,65490,131026,262098,374143
227,0xE3,32723,65491,131027,262099,374144
228,0xE4,32724,65492,131028,262100,374145
229,0xE5,32725,65493,131029,262101,374146
230,0xE6,32726,65494,131030,262102,374147
231,0xE7,32727,65495,131031,262103,374148
232,0xE8,32728,65496,131032,262104,374149
233,0xE9,32729,65497,131033,262105,374150
234,0xEA,32730,65498,131034,262106,374151
235,0xEB,32731,65499,131035,262107,374152
236,0xEC,32732,65500,131036,262108,374153
237,0xED,32733,65501,131037,262109,374154
238,0xEE,32734,65502,131038,262110,374155
239,0xEF,32735,65503,131039,262111,374156
240,0xF0,32736,65504,131040,262112,374157
241,0xF1,32737,65505,131041,262113,374158
242,0xF2,32738,65506,131042,262114,374159
243,0xF3,32739,65507,131043,262115,374160
244,0xF4,32740,65508,131044,262116,374161
245,0xF5,32741,65509,131045,262117,374162
246,0xF6,32742,65510,131046,262118,374163
247,0xF7,32743,65511,131047,262119,374164
248,0xF8,32744,65512,131048,262120,374165
249,0xF9,32745,65513,131049,262121,374166
250,0xFA,32746,65514,131050,262122,374167
251,0xFB,32747,65515,131051,262123,374168
252,0xFC,32748,65516,131052,262124,374169
253,0xFD,32749,65517,131053,262125,374170
254,0xFE,32750,65518,131054,262126,374171
255,0xFF,32751,65519,131055,262127,374172
